subject,grade,chapter,chapter_title,section,section_title,missing_basicnote,missing_quiz,missing_question
Agriculture,Grade 12,1,Vegetable Crops Production and Management,1.1,"Importance, problems and prospects of vegetable crop production in Ethiopia",True,False,False
Agriculture,Grade 12,1,Vegetable Crops Production and Management,1.2,Environmental factors influencing vegetable production,True,False,False
Agriculture,Grade 12,1,Vegetable Crops Production and Management,1.4,Types of vegetable crop production System,True,False,False
Agriculture,Grade 12,1,Vegetable Crops Production and Management,1.5,Principles of vegetable crops management,True,False,False
Agriculture,Grade 12,2,Fruit Crops Production and Management,2.1,Definition of some common terms,True,False,False
Agriculture,Grade 12,2,Fruit Crops Production and Management,2.2,"Importance, problems and prospect of fruit crops production in Ethiopia",True,False,False
Agriculture,Grade 12,2,Fruit Crops Production and Management,2.4,Principles and techniques of fruit propagation,True,False,False
Agriculture,Grade 12,2,Fruit Crops Production and Management,2.5,Establishing a nursery,True,False,False
Agriculture,Grade 12,2,Fruit Crops Production and Management,2.6,Management of Orchards,True,False,False
Agriculture,Grade 12,2,Fruit Crops Production and Management,2.7,Factors influencing the quality of fruit crops during harvest and post-harvest,True,False,False
Agriculture,Grade 12,3,Root and Tuber Crops Production and Management,3.1,Definition of terms,True,False,False
Agriculture,Grade 12,3,Root and Tuber Crops Production and Management,3.2,Classification of root and tuber crops,True,False,False
Agriculture,Grade 12,3,Root and Tuber Crops Production and Management,3.3,Importance of root and tuber crops,True,False,False
Agriculture,Grade 12,3,Root and Tuber Crops Production and Management,3.4,Prospects of root and tuber crops production in Ethiopia,True,False,False
Agriculture,Grade 12,3,Root and Tuber Crops Production and Management,3.5,Problems of root and tuber crops production in Ethiopia,True,False,False
Agriculture,Grade 12,3,Root and Tuber Crops Production and Management,3.6,Root and tuber crops managements and protection,True,False,False
Agriculture,Grade 12,3,Root and Tuber Crops Production and Management,3.7,Harvesting and post-harvest handling of root and tuber crops,True,False,False
Agriculture,Grade 12,4,"Coffee, Tea And Spices Production and Management",4.1,"History, origin, production status and economic importance of coffee, tea and spices",True,False,False
Agriculture,Grade 12,4,"Coffee, Tea And Spices Production and Management",4.2,"Ecological and soil requirements for coffee, tea and spices production",True,False,False
Agriculture,Grade 12,4,"Coffee, Tea And Spices Production and Management",4.3,"Propagation, nursery establishment and management of coffee, tea and spices",True,False,False
Agriculture,Grade 12,4,"Coffee, Tea And Spices Production and Management",4.4,"Field establishment and management practices of coffee, tea and spices",True,False,False
Agriculture,Grade 12,4,"Coffee, Tea And Spices Production and Management",4.5,Harvesting and processing coffee and tea,True,False,False
Agriculture,Grade 12,5,Introduction to Plant Biotechnology,5.1,Introduction to tissue culture,True,False,False
Agriculture,Grade 12,5,Introduction to Plant Biotechnology,5.2,Types of crops produced by tissue,True,False,False
Agriculture,Grade 12,5,Introduction to Plant Biotechnology,5.3,Benefits of tissue culture,True,False,False
Agriculture,Grade 12,5,Introduction to Plant Biotechnology,5.5,Application of genetic engineering in crop production,True,False,True
Agriculture,Grade 12,6,Beef Cattle Production and Management,6.1,Beef cattle breeds and methods of selection,True,False,False
Agriculture,Grade 12,6,Beef Cattle Production and Management,6.2,Beef cattle feeds and feeding methods,True,False,False
Agriculture,Grade 12,6,Beef Cattle Production and Management,6.3,Beef cattle housing,True,False,False
Agriculture,Grade 12,6,Beef Cattle Production and Management,6.4,Major disease of beef cattle and control methods,True,False,False
Agriculture,Grade 12,6,Beef Cattle Production and Management,6.5,Meat production and processing,True,False,False
Agriculture,Grade 12,7,Sheep and Goat Production and Management,7.1,Sheep and goat breeds and selection,True,False,False
Agriculture,Grade 12,7,Sheep and Goat Production and Management,7.2,Sheep and goat feeds and feeding,True,False,False
Agriculture,Grade 12,7,Sheep and Goat Production and Management,7.3,Sheep and goat housing,True,False,False
Agriculture,Grade 12,7,Sheep and Goat Production and Management,7.4,Major diseases of sheep and goat and methods of controlling,True,False,False
Agriculture,Grade 12,7,Sheep and Goat Production and Management,7.5,Sheep and goat meat and milk production and processing,True,False,False
Agriculture,Grade 12,8,Camel Production and Management,8.1,Camel breeds and selections,True,False,False
Agriculture,Grade 12,8,Camel Production and Management,8.2,Camel feeds and feeding,True,False,False
Agriculture,Grade 12,8,Camel Production and Management,8.3,Camel housing,True,False,False
Agriculture,Grade 12,8,Camel Production and Management,8.4,Major disease of camel and methods of their control,True,False,False
Agriculture,Grade 12,8,Camel Production and Management,8.5,Camel meat and milk production and processing,True,False,False
Agriculture,Grade 12,9,Poultry Production and Management,9.1,"Poultry breeds, classification and selection",True,False,False
Agriculture,Grade 12,9,Poultry Production and Management,9.2,Poultry feeds and feeding,True,False,False
Agriculture,Grade 12,9,Poultry Production and Management,9.3,Poultry housing,True,False,False
Agriculture,Grade 12,9,Poultry Production and Management,9.4,Poultry incubation and hatchery management,True,False,False
Agriculture,Grade 12,9,Poultry Production and Management,9.5,Poultry brooding and rearing,True,False,False
Agriculture,Grade 12,9,Poultry Production and Management,9.6,Layers and broilers management,True,False,False
Agriculture,Grade 12,9,Poultry Production and Management,9.7,Major diseases of poultry and controlling methods,True,True,False
Agriculture,Grade 12,10,Fishery Production and Management,10.1,Basic terms in aquaculture and farmed fish species in Ethiopia,True,False,True
Agriculture,Grade 12,10,Fishery Production and Management,10.2,Basic anatomy of bony fishers,True,False,True
Agriculture,Grade 12,10,Fishery Production and Management,10.3,Fish feeds and feeding practices,True,False,True
Agriculture,Grade 12,10,Fishery Production and Management,10.4,Fish culture techniques,True,False,True
Agriculture,Grade 12,10,Fishery Production and Management,10.5,Fish rearing,True,False,True
Agriculture,Grade 12,10,Fishery Production and Management,10.6,Fishing methods,True,False,True
Agriculture,Grade 12,10,Fishery Production and Management,10.7,Handling fish and fish products,True,False,True
Agriculture,Grade 12,10,Fishery Production and Management,10.8,Diseases in aquaculture,True,False,True
Agriculture,Grade 12,10,Fishery Production and Management,10.9,Indigenous knowledge in fish processing,True,False,True
Agriculture,Grade 12,11,Apiculture,11.1,Introduction to honey bee management,True,False,True
Agriculture,Grade 12,11,Apiculture,11.2,Bee biology and behavior,True,False,True
Agriculture,Grade 12,11,Apiculture,11.3,Types of honey bee colony,True,False,True
Agriculture,Grade 12,11,Apiculture,11.4,Management of honey bees,True,False,True
Agriculture,Grade 12,11,Apiculture,11.5,Colony management and queen rearing,True,False,True
Agriculture,Grade 12,11,Apiculture,11.6,Hive products and processing,True,False,True
Agriculture,Grade 12,11,Apiculture,11.7,"Bee diseases, pests and predators",True,False,True
Agriculture,Grade 12,11,Apiculture,11.8,Indigenous knowledge in apiculture,True,False,True
Agriculture,Grade 12,12,Nursery and Plantation Technology,12.1,Nursery establishment and management,True,False,True
Agriculture,Grade 12,12,Nursery and Plantation Technology,12.2,Design and layout of the nursery,False,False,True
Agriculture,Grade 12,12,Nursery and Plantation Technology,12.3,Producing plants from seeds,True,False,True
Agriculture,Grade 12,12,Nursery and Plantation Technology,12.4,Plantation establishment and management,True,False,True
Agriculture,Grade 12,13,Basics of Agro-Forestry Systems and Practices,13.1,"Definition of agro-forestry, systems, and practices",True,False,True
Agriculture,Grade 12,13,Basics of Agro-Forestry Systems and Practices,13.2,Significance of agro-forestry,True,False,True
Agriculture,Grade 12,13,Basics of Agro-Forestry Systems and Practices,13.3,Classification of agro-forestry systems,True,False,True
Agriculture,Grade 12,13,Basics of Agro-Forestry Systems and Practices,13.4,"Agro-forestry species, establishment and management",True,False,True
Agriculture,Grade 12,14,Soil and Water Conservation,14.1,Soil properties,True,False,True
Agriculture,Grade 12,14,Soil and Water Conservation,14.2,Soil erosion,True,False,True
Agriculture,Grade 12,14,Soil and Water Conservation,14.3,Major causes of soil erosion,True,False,True
Agriculture,Grade 12,14,Soil and Water Conservation,14.4,Negative impacts of soil erosion,False,False,True
Agriculture,Grade 12,14,Soil and Water Conservation,14.5,Types of soil and water conservation practices,True,False,True
Agriculture,Grade 12,14,Soil and Water Conservation,14.6,Need of soil and water conservation,True,False,True
Agriculture,Grade 12,14,Soil and Water Conservation,14.7,Indigenous Knowledge in Soil and water conservation,True,False,True
Agriculture,Grade 12,15,Gender and Human Nutrition,15.1,Basic gender-related terminologies,True,False,True
Agriculture,Grade 12,15,Gender and Human Nutrition,15.2,Gender role in food production and consumption,True,False,True
Agriculture,Grade 12,15,Gender and Human Nutrition,15.3,Empowering women in food production and consumption,True,False,True
Agriculture,Grade 12,16,Safe Food Production and Postharvest Handling,16.1,Food safety hazards and health risks,True,False,True
Agriculture,Grade 12,16,Safe Food Production and Postharvest Handling,16.2,Source of food contaminants,True,False,True
Agriculture,Grade 12,16,Safe Food Production and Postharvest Handling,16.3,Food safety and nutrition linkage,True,False,True
Agriculture,Grade 12,16,Safe Food Production and Postharvest Handling,16.4,Indigenous knowledge in safe food production,True,False,True
Agriculture,Grade 12,17,Application of Information and Communication Technologies (ICT) in Agriculture,17.1,Roles of ICT in agriculture,True,False,True
Agriculture,Grade 12,17,Application of Information and Communication Technologies (ICT) in Agriculture,17.2,Major application of ICT in agriculture,True,False,True
Agriculture,Grade 12,17,Application of Information and Communication Technologies (ICT) in Agriculture,17.3,Drawbacks and solutions of ICT in agriculture,True,False,True
Biology,Grade 10 ,2,Plants,2.10,Medicinal plants,True,True,False
Biology,Grade 10 ,2,Plants,2.3.1,The internal structure of a leaf,True,False,True
Biology,Grade 10 ,2,Plants,2.3.2,The internal structure of a stem,True,False,True
Biology,Grade 10 ,2,Plants,2.3.3,The internal structure of a root,True,False,True
Biology,Grade 10 ,2,Plants,2.4.2,Reproductive structure and life cycle of flowering plants,True,True,True
Biology,Grade 10 ,2,Plants,2.4.3,Pollination,True,False,True
Biology,Grade 10 ,2,Plants,2.6,Seed Dispersal and Germination,False,True,False
Biology,Grade 10 ,2,Plants,2.6.1,Seed dispersal,True,True,True
Biology,Grade 10 ,2,Plants,2.6.2,Germination of seed,True,False,True
Biology,Grade 10 ,2,Plants,2.7.1,The photosynthetic apparatus,True,True,True
Biology,Grade 10 ,2,Plants,2.7.2,The light absorbing system in chloroplast,True,True,True
Biology,Grade 10 ,2,Plants,2.7.3,Mechanism of photosynthesis,True,True,True
Biology,Grade 10 ,2,Plants,2.7.4,Testing a leaf for starch,True,True,True
Biology,Grade 10 ,2,Plants,2.8.1,Transporting systems in plants,True,True,True
Biology,Grade 10 ,2,Plants,2.8.2,Mechanism of transport in plant,True,True,True
Biology,Grade 10 ,3,Biochemical Molecules,3.1.1,Inorganic molecule: Water,True,False,True
Biology,Grade 10 ,3,Biochemical Molecules,3.1.2,Inorganic ions,True,False,True
Biology,Grade 10 ,3,Biochemical Molecules,3.1.3,Organic molecules,True,False,True
Biology,Grade 10 ,4,Cell Reproduction,4.2.1,Mitosis,True,False,True
Biology,Grade 10 ,4,Cell Reproduction,4.2.2,Meiosis,True,False,True
Biology,Grade 10 ,5,Human Biology,5.2.1,Blood Donation,True,False,True
Biology,Grade 10 ,5,Human Biology,5.2.2,Diseases of the circulatory and lymphatic systems,True,False,True
Biology,Grade 10 ,6,Ecological Interaction,6.1.1,Food chain and food web,True,False,True
Biology,Grade 10 ,6,Ecological Interaction,6.1.2,Flow of energy and matter through ecosystem,True,False,True
Biology,Grade 10 ,6,Ecological Interaction,6.2,Cycling of Materials in an Ecosystem,True,True,False
Biology,Grade 10 ,6,Ecological Interaction,6.2.2,Carbon cycle,True,False,True
Biology,Grade 10 ,6,Ecological Interaction,6.2.3,Nitrogen cycle,True,False,True
Biology,Grade 10 ,6,Ecological Interaction,6.2.4,Phosphorus cycle,True,False,True
Biology,Grade 11 ,1,Biology and technology,1.2.1,The benefits of biology to technology,True,False,True
Biology,Grade 11 ,1,Biology and technology,1.2.2,Uses of technology in biology,True,False,True
Biology,Grade 11 ,1,Biology and technology,1.4.1,Ethical treatment of plants and animals during biological studies,True,True,True
Biology,Grade 11 ,2,Animals,2.2,Invertebrates and Vertebrates,False,True,False
Biology,Grade 11 ,2,Animals,2.3,Reproduction in Animals,False,True,False
Biology,Grade 11 ,2,Animals,2.3.1,Asexual reproduction in animals,True,False,True
Biology,Grade 11 ,2,Animals,2.3.2,Sexual reproduction in animals,True,False,True
Biology,Grade 11 ,2,Animals,2.3.3,Reproduction in insects (complete and incomplete metamorphosis),True,False,True
Biology,Grade 11 ,2,Animals,2.3.4,Reproduction in Frog,True,False,True
Biology,Grade 11 ,2,Animals,2.3.5,Reproduction in Crocodiles,True,False,True
Biology,Grade 11 ,2,Animals,2.3.6,Reproduction in Birds,True,False,True
Biology,Grade 11 ,2,Animals,2.3.7,Reproduction in rat,True,False,True
Biology,Grade 11 ,2,Animals,2.4,The economic importance of animals (insects),False,True,False
Biology,Grade 11 ,2,Animals,2.4.1,Beneficial aspects of insects,True,False,True
Biology,Grade 11 ,2,Animals,2.4.2,Harmful aspects of insects,True,False,True
Biology,Grade 11 ,2,Animals,2.5.1,Types of Animal Behavior,True,False,True
Biology,Grade 11 ,2,Animals,2.5.2,Patterns of Behavior,True,False,True
Biology,Grade 11 ,2,Animals,2.6,Homeostasis in animals,False,True,False
Biology,Grade 11 ,2,Animals,2.6.1,Thermoregulation,True,False,True
Biology,Grade 11 ,2,Animals,2.6.2,Osmoregulation,True,False,True
Biology,Grade 11 ,2,Animals,2.6.3,Blood Sugar Regulation,True,False,True
Biology,Grade 11 ,2,Animals,2.6.4,Control of homeostasis,True,False,True
Biology,Grade 11 ,2,Animals,2.7,Renowned zoologists in Ethiopia,True,True,False
Biology,Grade 11 ,3,Enzymes,3.10,Malting in Ethiopian tradition,True,False,False
Biology,Grade 11 ,3,Enzymes,3.10.1,Steps of modern malting,True,True,True
Biology,Grade 11 ,3,Enzymes,3.10.3,Traditional malting for local alcohol production,True,True,True
Biology,Grade 11 ,3,Enzymes,3.11,Renowned Biochemists in Ethiopia,True,True,False
Biology,Grade 11 ,3,Enzymes,3.2.1,General properties of an enzyme,True,False,True
Biology,Grade 11 ,3,Enzymes,3.2.2,The function of enzymes,True,False,True
Biology,Grade 11 ,3,Enzymes,3.4.1,Enzyme-substrate binding models,True,False,True
Biology,Grade 11 ,3,Enzymes,3.4.2,Enzymatic transition state,True,True,True
Biology,Grade 11 ,3,Enzymes,3.6,Types of enzymes,False,True,False
Biology,Grade 11 ,3,Enzymes,3.7.1,Description on factors affecting enzymatic actions,True,True,True
Biology,Grade 11 ,4,Genetics,4.10,Genetic testing and counseling,True,False,False
Biology,Grade 11 ,4,Genetics,4.12.1,Indigenous knowledge of Ethiopian farmers,True,True,True
Biology,Grade 11 ,4,Genetics,4.2.1,The Structure and function of DNA,True,False,True
Biology,Grade 11 ,4,Genetics,4.2.2,The structure and function of RNA,True,False,True
Biology,Grade 11 ,4,Genetics,4.2.3,DNA replication,True,False,True
Biology,Grade 11 ,4,Genetics,4.3.1,Cell Division,True,False,True
Biology,Grade 11 ,4,Genetics,4.5.1,Mendellan crosses,True,True,True
Biology,Grade 11 ,4,Genetics,4.5.2,Monohybrid cross,True,False,True
Biology,Grade 11 ,4,Genetics,4.5.3,Dihybrid Cross,True,False,True
Biology,Grade 11 ,4,Genetics,4.5.4,Test Crosses,True,False,True
Biology,Grade 11 ,4,Genetics,4.7.1,"Co-dominance, Incomplete dominance and Multiple alleles",True,False,True
Biology,Grade 11 ,4,Genetics,4.7.2,Rh factor inheritance in humans and its medical importance,True,False,True
Biology,Grade 11 ,4,Genetics,4.7.3,Sex-linked inheritance in humans,True,False,True
Biology,Grade 11 ,4,Genetics,4.7.4,Environmental effects on phenotype,True,False,True
Biology,Grade 11 ,5,The human body systems,5.1.1,Types of muscles,True,False,True
Biology,Grade 11 ,5,The human body systems,5.1.2,Mechanism of actions of skeletal muscles,True,False,True
Biology,Grade 11 ,5,The human body systems,5.1.3,The human axial and appendicular skeletons,True,False,True
Biology,Grade 11 ,5,The human body systems,5.1.4,Joints,True,False,True
Biology,Grade 11 ,5,The human body systems,5.2.1,Human reproductive system (Male and Female),True,False,True
Biology,Grade 11 ,5,The human body systems,5.2.2,Gametogenesis,True,False,True
Biology,Grade 11 ,5,The human body systems,5.2.2.1,Positive and negative feedbacks to control the menstrual cycle,True,True,True
Biology,Grade 11 ,5,The human body systems,5.2.3,Fertilization and pregnancy,True,True,True
Biology,Grade 11 ,5,The human body systems,5.2.4,Mechanism of action of contraceptives,True,False,True
Biology,Grade 11 ,5,The human body systems,5.2.5,Causes of infertility in humans,True,False,True
Biology,Grade 11 ,5,The human body systems,5.2.6,The major sexually transmitted infections (STIs) in Ethiopia,True,False,True
Biology,Grade 11 ,5,The human body systems,5.2.8,Epidemiology of STIs in Ethiopia,True,False,True
Biology,Grade 11 ,5,The human body systems,5.3.1,Harmful traditional practices,True,True,True
Biology,Grade 11 ,5,The human body systems,5.4.1,Risks related to the lack of family planning,True,True,True
Biology,Grade 11 ,5,The human body systems,5.4.2,Family planning actions,True,True,True
Biology,Grade 11 ,5,The human body systems,5.4.3,Family planning services,True,True,True
Biology,Grade 11 ,5,The human body systems,5.5.1,The effects of alcohol uses,True,True,True
Biology,Grade 11 ,5,The human body systems,5.5.2,Effects of chewing Khat,True,True,True
Biology,Grade 11 ,5,The human body systems,5.5.3,Effects of drug uses,True,True,True
Biology,Grade 11 ,6,Population and natural resources,6.1.1,"Population size, density and dispersal",True,False,True
Biology,Grade 11 ,6,Population and natural resources,6.1.2,Exponential and logistic growth in populations,True,False,True
Biology,Grade 11 ,6,Population and natural resources,6.1.3,Demographic structure,True,False,True
Biology,Grade 11 ,6,Population and natural resources,6.1.4,Population regulation,True,False,True
Biology,Grade 11 ,6,Population and natural resources,6.5.2,Climate change,True,True,True
Biology,Grade 11 ,6,Population and natural resources,6.5.3,Global warming,True,True,True
Biology,Grade 11 ,6,Population and natural resources,6.5.4,Ozone layer depletion,True,True,True
Biology,Grade 11 ,6,Population and natural resources,6.5.5,Acid rain,True,True,True
Biology,Grade 11 ,6,Population and natural resources,6.5.6,Loss of Biodiversity,True,True,True
Biology,Grade 11 ,6,Population and natural resources,6.5.7,Toxic bioaccumulation,True,True,True
Biology,Grade 11 ,6,Population and natural resources,6.5.8,Resource depletion,True,True,True
Biology,Grade 12,1,Application of Biology ,1.1,Application in Conservation of Natural Resources ,True,False,False
Biology,Grade 12,1,Application of Biology ,1.2,Food and Nutrition Security ,True,False,False
Biology,Grade 12,1,Application of Biology ,1.3,Creating Conscious Citizens and Ensuring Sustainable Development ,True,False,False
Biology,Grade 12,1,Application of Biology ,1.4,Applications in Biotechnology ,True,False,False
Biology,Grade 12,2,Microorganisms ,2.1,Eubacteria ,True,False,False
Biology,Grade 12,2,Microorganisms ,2.1.1,Structure of Bacterial Cell,True,False,True
Biology,Grade 12,2,Microorganisms ,2.1.2,Bacterial Shapes,True,True,True
Biology,Grade 12,2,Microorganisms ,2.1.3,Nutritional types of bacteria,True,False,True
Biology,Grade 12,2,Microorganisms ,2.1.4,Reproduction of bacteria,True,True,True
Biology,Grade 12,2,Microorganisms ,2.11,Renowned Microbiologists in Ethiopia ,True,True,False
Biology,Grade 12,2,Microorganisms ,2.2,Archaea ,True,False,False
Biology,Grade 12,2,Microorganisms ,2.2.1,Beneficial aspects of Archaea,True,False,True
Biology,Grade 12,2,Microorganisms ,2.2.2,Physical factors that affecting microbial growths,True,True,True
Biology,Grade 12,2,Microorganisms ,2.3,Fungi ,True,False,False
Biology,Grade 12,2,Microorganisms ,2.3.1,General Characteristics of True Fungi,True,True,True
Biology,Grade 12,2,Microorganisms ,2.3.2,Ecology of Fungi,True,True,True
Biology,Grade 12,2,Microorganisms ,2.3.3,Classification of Fungi,True,True,True
Biology,Grade 12,2,Microorganisms ,2.3.4,Reproduction in fungi,True,True,True
Biology,Grade 12,2,Microorganisms ,2.3.5,Economic importance of fungi,True,False,True
Biology,Grade 12,2,Microorganisms ,2.4,Protozoa ,True,False,False
Biology,Grade 12,2,Microorganisms ,2.4.1,Common diseases caused by protozoa,True,False,True
Biology,Grade 12,2,Microorganisms ,2.5,Viruses ,True,False,False
Biology,Grade 12,2,Microorganisms ,2.5.1,Characteristics of virus,True,True,True
Biology,Grade 12,2,Microorganisms ,2.5.2,Viral symmetry,True,True,True
Biology,Grade 12,2,Microorganisms ,2.5.3,Classification of Viruses,True,False,True
Biology,Grade 12,2,Microorganisms ,2.6,Normal Microbiota ,True,False,False
Biology,Grade 12,2,Microorganisms ,2.7,Modes of Disease Transmission and Prevention ,True,False,False
Biology,Grade 12,2,Microorganisms ,2.8,Uses of Microorganisms ,True,False,False
Biology,Grade 12,2,Microorganisms ,2.9,Controlling Microorganisms ,True,False,False
Biology,Grade 12,3,Energy Transformation ,3.1,Cellular Metabolism ,True,False,False
Biology,Grade 12,3,Energy Transformation ,3.2,Photosynthesis ,True,False,False
Biology,Grade 12,3,Energy Transformation ,3.2.1,Photosynthetic pigments,True,True,True
Biology,Grade 12,3,Energy Transformation ,3.2.5,Light-Independent Reactions (Calvin cycle),True,True,True
Biology,Grade 12,3,Energy Transformation ,3.3,Contributions of Photosynthesis ,True,False,False
Biology,Grade 12,3,Energy Transformation ,3.4,Cellular Respiration ,True,False,False
Biology,Grade 12,3,Energy Transformation ,3.4.3,The site of cellular respiration,True,True,True
Biology,Grade 12,4,Evolution ,4.1,Evolution ,True,True,False
Biology,Grade 12,4,Evolution ,4.1.1,Definition,True,False,True
Biology,Grade 12,4,Evolution ,4.1.2,Theories of evolution,True,False,True
Biology,Grade 12,4,Evolution ,4.1.3,The evidence for evolution,True,False,True
Biology,Grade 12,4,Evolution ,4.1.4,"Natural selection: Definition, Types & Examples",True,False,True
Biology,Grade 12,4,Evolution ,4.1.5,Human evolution,True,False,True
Biology,Grade 12,4,Evolution ,4.1.6,Mutation,True,False,True
Biology,Grade 12,4,Evolution ,4.1.7,Genetic Drift,True,False,True
Biology,Grade 12,4,Evolution ,4.1.8,Gene flow (immigration and emigration),True,False,True
Biology,Grade 12,4,Evolution ,4.1.9,Causes of species extinction,True,False,True
Biology,Grade 12,4,Evolution ,4.2,Renowned Anthropologists in Ethiopia ,True,True,False
Biology,Grade 12,4,Evolution ,4.3,Renowned Evolutionists in Ethiopia ,True,True,False
Biology,Grade 12,5,Human Body System ,5.1,The Nervous System ,True,False,False
Biology,Grade 12,5,Human Body System ,5.1.1,Neurons and their functions,True,True,True
Biology,Grade 12,5,Human Body System ,5.1.2,The Nerve Impulse and transmission,True,True,True
Biology,Grade 12,5,Human Body System ,5.1.3,Neurotransmitters,True,True,True
Biology,Grade 12,5,Human Body System ,5.1.4,Types of the nervous system,True,True,True
Biology,Grade 12,5,Human Body System ,5.1.6,Reflex action,True,True,True
Biology,Grade 12,5,Human Body System ,5.1.7,Drug abuse,True,True,True
Biology,Grade 12,5,Human Body System ,5.2,Sense Organs ,True,False,False
Biology,Grade 12,5,Human Body System ,5.2.1,Skin,True,True,True
Biology,Grade 12,5,Human Body System ,5.2.2,The Tongue,True,True,True
Biology,Grade 12,5,Human Body System ,5.2.3,The Nose,True,True,True
Biology,Grade 12,5,Human Body System ,5.2.4,The Eye,True,True,True
Biology,Grade 12,5,Human Body System ,5.2.5,The Ear,True,True,True
Biology,Grade 12,5,Human Body System ,5.2.6,The endocrine system,True,True,True
Biology,Grade 12,5,Human Body System ,5.3,Homeostasis in the Human Body ,True,False,False
Biology,Grade 12,5,Human Body System ,5.3.1,The structure and function of the human kidney,True,True,True
Biology,Grade 12,6,Climate Change ,6.1,Climate Change: Causes and Effects ,True,False,False
Biology,Grade 12,6,Climate Change ,6.1.1,Definition of Climate Change,True,True,True
Biology,Grade 12,6,Climate Change ,6.1.2,Causes of climate change,True,True,True
Biology,Grade 12,6,Climate Change ,6.2,Effects of Climate Change ,True,False,False
Biology,Grade 12,6,Climate Change ,6.2.1,Effects of climate change on biodiversity,True,True,True
Biology,Grade 12,6,Climate Change ,6.2.2,Effects of climate change on Agriculture,True,True,True
Biology,Grade 12,6,Climate Change ,6.2.3,Effect of climate change on forest productivity,True,True,True
Biology,Grade 12,6,Climate Change ,6.2.4,Climate change and natural disasters,True,True,True
Biology,Grade 12,6,Climate Change ,6.3,International Conventions ,True,False,False
Biology,Grade 12,6,Climate Change ,6.3.1,The United Nations Framework Convention,True,True,True
Biology,Grade 12,6,Climate Change ,6.3.2,Kyoto Protocol on Climate Change,True,True,True
Biology,Grade 12,6,Climate Change ,6.3.3,International and national practices of Implementation of conventions,True,True,True
Biology,Grade 9 ,1,Introduction to Biology,1.4,Tools of a Biologist ,False,True,False
Biology,Grade 9 ,1,Introduction to Biology,1.4.1,Laboratory tools of biologist ,True,False,True
Biology,Grade 9 ,1,Introduction to Biology,1.4.2,Field tools ,True,False,True
Biology,Grade 9 ,1,Introduction to Biology,1.5,The Light Microscope ,False,True,False
Biology,Grade 9 ,1,Introduction to Biology,1.5.1,The parts and function of the light microscope ,True,False,True
Biology,Grade 9 ,1,Introduction to Biology,1.5.2,Handling and using a light microscope ,True,False,True
Biology,Grade 9 ,2,Characteristics and Classification of Organisms,2.2,Taxonomy of living things,False,True,False
Biology,Grade 9 ,2,Characteristics and Classification of Organisms,2.2.1,Principles of classification ,True,False,True
Biology,Grade 9 ,2,Characteristics and Classification of Organisms,2.2.2,Taxonomic hierarchies in biological classification ,True,False,True
Biology,Grade 9 ,2,Characteristics and Classification of Organisms,2.6.1,Kingdom Monera ,True,False,True
Biology,Grade 9 ,2,Characteristics and Classification of Organisms,2.6.2,Kingdom Protista ,True,False,True
Biology,Grade 9 ,2,Characteristics and Classification of Organisms,2.6.3,Kingdom Fungi ,True,False,True
Biology,Grade 9 ,2,Characteristics and Classification of Organisms,2.6.4,Kingdom Plantae ,True,False,True
