subject,grade,chapter,chapter_title,section,section_title
Biology,Grade 11 ,2,Animals,2.5.2,Patterns of Behavior
Biology,Grade 11 ,2,Animals,2.6.1,Thermoregulation
Biology,Grade 11 ,2,Animals,2.6.2,Osmoregulation
Biology,Grade 11 ,2,Animals,2.6.3,Blood Sugar Regulation
Biology,Grade 11 ,2,Animals,2.6.4,Control of homeostasis
Biology,Grade 11 ,3,Enzymes,3.10.1,Steps of modern malting
Biology,Grade 11 ,3,Enzymes,3.10.3,Traditional malting for local alcohol production
Biology,Grade 11 ,3,Enzymes,3.2.1,General properties of an enzyme
Biology,Grade 11 ,3,Enzymes,3.2.2,The function of enzymes
Biology,Grade 11 ,3,Enzymes,3.4.1,Enzyme-substrate binding models
Biology,Grade 11 ,3,Enzymes,3.4.2,Enzymatic transition state
Biology,Grade 11 ,3,Enzymes,3.7.1,Description on factors affecting enzymatic actions
Biology,Grade 11 ,4,Genetics,4.12.1,Indigenous knowledge of Ethiopian farmers
Biology,Grade 11 ,4,Genetics,4.2.1,The Structure and function of DNA
Biology,Grade 11 ,4,Genetics,4.2.2,The structure and function of RNA
Biology,Grade 11 ,4,Genetics,4.2.3,DNA replication
Biology,Grade 11 ,4,Genetics,4.3.1,Cell Division
Biology,Grade 11 ,4,Genetics,4.5.1,Mendellan crosses
Biology,Grade 11 ,4,Genetics,4.5.2,Monohybrid cross
Biology,Grade 11 ,4,Genetics,4.5.3,Dihybrid Cross
Biology,Grade 11 ,4,Genetics,4.5.4,Test Crosses
Biology,Grade 11 ,4,Genetics,4.7.1,"Co-dominance, Incomplete dominance and Multiple alleles"
Biology,Grade 11 ,4,Genetics,4.7.2,Rh factor inheritance in humans and its medical importance
Biology,Grade 11 ,4,Genetics,4.7.3,Sex-linked inheritance in humans
Biology,Grade 11 ,4,Genetics,4.7.4,Environmental effects on phenotype
Biology,Grade 11 ,5,The human body systems,5.1.1,Types of muscles
Biology,Grade 11 ,5,The human body systems,5.1.2,Mechanism of actions of skeletal muscles
Biology,Grade 11 ,5,The human body systems,5.1.3,The human axial and appendicular skeletons
Biology,Grade 11 ,5,The human body systems,5.1.4,Joints
Biology,Grade 11 ,5,The human body systems,5.2.1,Human reproductive system (Male and Female)
Biology,Grade 11 ,5,The human body systems,5.2.2,Gametogenesis
Biology,Grade 11 ,5,The human body systems,5.2.2.1,Positive and negative feedbacks to control the menstrual cycle
Biology,Grade 11 ,5,The human body systems,5.2.3,Fertilization and pregnancy
Biology,Grade 11 ,5,The human body systems,5.2.4,Mechanism of action of contraceptives
Biology,Grade 11 ,5,The human body systems,5.2.5,Causes of infertility in humans
Biology,Grade 11 ,5,The human body systems,5.2.6,The major sexually transmitted infections (STIs) in Ethiopia
Biology,Grade 11 ,5,The human body systems,5.2.8,Epidemiology of STIs in Ethiopia
Biology,Grade 11 ,5,The human body systems,5.3.1,Harmful traditional practices
Biology,Grade 11 ,5,The human body systems,5.4.1,Risks related to the lack of family planning
Biology,Grade 11 ,5,The human body systems,5.4.2,Family planning actions
Biology,Grade 11 ,5,The human body systems,5.4.3,Family planning services
Biology,Grade 11 ,5,The human body systems,5.5.1,The effects of alcohol uses
Biology,Grade 11 ,5,The human body systems,5.5.2,Effects of chewing Khat
Biology,Grade 11 ,5,The human body systems,5.5.3,Effects of drug uses
Biology,Grade 11 ,6,Population and natural resources,6.1.1,"Population size, density and dispersal"
Biology,Grade 11 ,6,Population and natural resources,6.1.2,Exponential and logistic growth in populations
Biology,Grade 11 ,6,Population and natural resources,6.1.3,Demographic structure
Biology,Grade 11 ,6,Population and natural resources,6.1.4,Population regulation
Biology,Grade 11 ,6,Population and natural resources,6.5.2,Climate change
Biology,Grade 11 ,6,Population and natural resources,6.5.3,Global warming
Biology,Grade 11 ,6,Population and natural resources,6.5.4,Ozone layer depletion
Biology,Grade 11 ,6,Population and natural resources,6.5.5,Acid rain
Biology,Grade 11 ,6,Population and natural resources,6.5.6,Loss of Biodiversity
Biology,Grade 11 ,6,Population and natural resources,6.5.7,Toxic bioaccumulation
Biology,Grade 11 ,6,Population and natural resources,6.5.8,Resource depletion
Biology,Grade 12,2,Microorganisms ,2.1.1,Structure of Bacterial Cell
Biology,Grade 12,2,Microorganisms ,2.1.2,Bacterial Shapes
Biology,Grade 12,2,Microorganisms ,2.1.3,Nutritional types of bacteria
Biology,Grade 12,2,Microorganisms ,2.1.4,Reproduction of bacteria
Biology,Grade 12,2,Microorganisms ,2.2.1,Beneficial aspects of Archaea
Biology,Grade 12,2,Microorganisms ,2.2.2,Physical factors that affecting microbial growths
Biology,Grade 12,2,Microorganisms ,2.3.1,General Characteristics of True Fungi
Biology,Grade 12,2,Microorganisms ,2.3.2,Ecology of Fungi
Biology,Grade 12,2,Microorganisms ,2.3.3,Classification of Fungi
Biology,Grade 12,2,Microorganisms ,2.3.4,Reproduction in fungi
Biology,Grade 12,2,Microorganisms ,2.3.5,Economic importance of fungi
Biology,Grade 12,2,Microorganisms ,2.4.1,Common diseases caused by protozoa
Biology,Grade 12,2,Microorganisms ,2.5.1,Characteristics of virus
Biology,Grade 12,2,Microorganisms ,2.5.2,Viral symmetry
Biology,Grade 12,2,Microorganisms ,2.5.3,Classification of Viruses
Biology,Grade 12,3,Energy Transformation ,3.2.1,Photosynthetic pigments
Biology,Grade 12,3,Energy Transformation ,3.2.5,Light-Independent Reactions (Calvin cycle)
Biology,Grade 12,3,Energy Transformation ,3.4.3,The site of cellular respiration
Biology,Grade 12,4,Evolution ,4.1.1,Definition
Biology,Grade 12,4,Evolution ,4.1.2,Theories of evolution
Biology,Grade 12,4,Evolution ,4.1.3,The evidence for evolution
Biology,Grade 12,4,Evolution ,4.1.4,"Natural selection: Definition, Types & Examples"
Biology,Grade 12,4,Evolution ,4.1.5,Human evolution
Biology,Grade 12,4,Evolution ,4.1.6,Mutation
Biology,Grade 12,4,Evolution ,4.1.7,Genetic Drift
Biology,Grade 12,4,Evolution ,4.1.8,Gene flow (immigration and emigration)
Biology,Grade 12,4,Evolution ,4.1.9,Causes of species extinction
Biology,Grade 12,5,Human Body System ,5.1.1,Neurons and their functions
Biology,Grade 12,5,Human Body System ,5.1.2,The Nerve Impulse and transmission
Biology,Grade 12,5,Human Body System ,5.1.3,Neurotransmitters
Biology,Grade 12,5,Human Body System ,5.1.4,Types of the nervous system
Biology,Grade 12,5,Human Body System ,5.1.6,Reflex action
Biology,Grade 12,5,Human Body System ,5.1.7,Drug abuse
Biology,Grade 12,5,Human Body System ,5.2.1,Skin
Biology,Grade 12,5,Human Body System ,5.2.2,The Tongue
Biology,Grade 12,5,Human Body System ,5.2.3,The Nose
Biology,Grade 12,5,Human Body System ,5.2.4,The Eye
Biology,Grade 12,5,Human Body System ,5.2.5,The Ear
Biology,Grade 12,5,Human Body System ,5.2.6,The endocrine system
Biology,Grade 12,5,Human Body System ,5.3.1,The structure and function of the human kidney
Biology,Grade 12,6,Climate Change ,6.1.1,Definition of Climate Change
Biology,Grade 12,6,Climate Change ,6.1.2,Causes of climate change
Biology,Grade 12,6,Climate Change ,6.2.1,Effects of climate change on biodiversity
Biology,Grade 12,6,Climate Change ,6.2.2,Effects of climate change on Agriculture
Biology,Grade 12,6,Climate Change ,6.2.3,Effect of climate change on forest productivity
Biology,Grade 12,6,Climate Change ,6.2.4,Climate change and natural disasters
Biology,Grade 12,6,Climate Change ,6.3.1,The United Nations Framework Convention
Biology,Grade 12,6,Climate Change ,6.3.2,Kyoto Protocol on Climate Change
Biology,Grade 12,6,Climate Change ,6.3.3,International and national practices of Implementation of conventions
Biology,Grade 9 ,1,Introduction to Biology,1.4.1,Laboratory tools of biologist 
Biology,Grade 9 ,1,Introduction to Biology,1.4.2,Field tools 
Biology,Grade 9 ,1,Introduction to Biology,1.5.1,The parts and function of the light microscope 
Biology,Grade 9 ,1,Introduction to Biology,1.5.2,Handling and using a light microscope 
Biology,Grade 9 ,2,Characteristics and Classification of Organisms,2.2.1,Principles of classification 
Biology,Grade 9 ,2,Characteristics and Classification of Organisms,2.2.2,Taxonomic hierarchies in biological classification 
Biology,Grade 9 ,2,Characteristics and Classification of Organisms,2.6.1,Kingdom Monera 
Biology,Grade 9 ,2,Characteristics and Classification of Organisms,2.6.2,Kingdom Protista 
Biology,Grade 9 ,2,Characteristics and Classification of Organisms,2.6.3,Kingdom Fungi 
Biology,Grade 9 ,2,Characteristics and Classification of Organisms,2.6.4,Kingdom Plantae 
Biology,Grade 9 ,2,Characteristics and Classification of Organisms,2.6.5,Kingdom Animalia 
Biology,Grade 9 ,3,Cells,3.7.1,Passive transport 
Biology,Grade 9 ,3,Cells,3.7.2,Active transport 
Biology,Grade 9 ,4,Reproduction,4. 6,Male reproductive structures 
Biology,Grade 9 ,4,Reproduction,4.3.1,Fission 
Biology,Grade 9 ,4,Reproduction,4.3.2,Fragmentation 
Biology,Grade 9 ,4,Reproduction,4.3.3,Budding 
Biology,Grade 9 ,4,Reproduction,4.3.4,Vegetative propagation 
Biology,Grade 9 ,5,"Human Health, Nutrition, and Disease",5.8,Infectious and noninfectious diseases 
Biology,Grade 9 ,5,"Human Health, Nutrition, and Disease",5.8. 1,Infectious diseases 
Biology,Grade 9 ,5,"Human Health, Nutrition, and Disease",5.8. 2,Non-infectious diseases 
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.2.1,Postulates of Dalton's Atomic Theory
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.2.2,Postulates of Modern Atomic Theory.
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.3.1,The Discovery of the Electron
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.3.2,Radioactivity and the Discovery of the Nucleus
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.3.3,Discovery of the Neutron
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.4.1,Subatomic Particles
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.4.2,Atomic Mass and Isotopes
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.5.1,Electromagnetic Radiation
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.5.2,The Quantum Theory and Photon
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.5.3,Atomic Spectra
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.5.4,The Bohr Model of the Hydrogen Atom.
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.5.5,Limitations of the Bohr Model
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.5.6,The Wave-Particle Duality of Matter and Energy
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.6.1,The Heisenberg's Principle
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.6.2,Quantum Numbers
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.6.3,Shapes of Atomic Orbitals.
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.7.1,Ground State Electronic Configuration of the Elements
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.8.1,The Modern Periodic Table
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.8.2,Classification of the Elements
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.8.3,Periodic Properties
Chemistry,Grade 11 ,1,ATOMIC STRUCTURE AND PERIODIC PROPERTIES OF THE ELEMENTS,1.8.4,Advantages of Periodic Classification of the Elements...
Chemistry,Grade 11 ,2,CHEMICAL BONDING,2.1.1,The Octet Rule
Chemistry,Grade 11 ,2,CHEMICAL BONDING,2.1.2,Types of Chemical Bonding
Chemistry,Grade 11 ,2,CHEMICAL BONDING,2.2.1,Lewis Electron-Dot Symbols
Chemistry,Grade 11 ,2,CHEMICAL BONDING,2.2.2,Formation of Ionic Bonds
Chemistry,Grade 11 ,2,CHEMICAL BONDING,2.2.3,Exceptions to the Octet Rule in Ionic Compounds
Chemistry,Grade 11 ,2,CHEMICAL BONDING,2.2.4,Properties of Ionic Compounds..
Chemistry,Grade 11 ,2,CHEMICAL BONDING,2.3.1,Molecular Geometry
Chemistry,Grade 11 ,2,CHEMICAL BONDING,2.3.2,Intermolecular Forces in Covalent Compounds.
Chemistry,Grade 11 ,2,CHEMICAL BONDING,2.4.1,Formation of Metallic Bonding.
Chemistry,Grade 11 ,2,CHEMICAL BONDING,2.4.2,Electron-Sea Model
Chemistry,Grade 11 ,2,CHEMICAL BONDING,2.4.3,Properties of Metals and Bonding
Chemistry,Grade 11 ,2,CHEMICAL BONDING,2.5.1,Valence Bond (VB) Theory
Chemistry,Grade 11 ,2,CHEMICAL BONDING,2.5.2,Molecular Orbital Theory (MOT)
Chemistry,Grade 11 ,3,PHYSICAL STATES OF MATTER,3.2.1,The Kinetic Theory of Matter
Chemistry,Grade 11 ,3,PHYSICAL STATES OF MATTER,3.2.2,Properties of Matter...
Chemistry,Grade 11 ,3,PHYSICAL STATES OF MATTER,3.3.1,The Kinetic Molecular Theory of Gases
Chemistry,Grade 11 ,3,PHYSICAL STATES OF MATTER,3.3.2,The Gas Laws
Chemistry,Grade 11 ,3,PHYSICAL STATES OF MATTER,3.4.1,Energy Changes in Liquids
Chemistry,Grade 11 ,4,CHEMICAL KINETICS,4.3,Factors Affecting the Rate of a Chemical Reaction
Chemistry,Grade 11 ,5,CHEMICAL EQUILIBRIUM,5.2.1,Reversible and Irreversible Reactions
Chemistry,Grade 11 ,5,CHEMICAL EQUILIBRIUM,5.2.2,Attainment and Characteristics of Chemical Equilibria
Chemistry,Grade 11 ,5,CHEMICAL EQUILIBRIUM,5.2.3,Conditions for Attainment of Chemical Equilibria
Chemistry,Grade 11 ,5,CHEMICAL EQUILIBRIUM,5.2.4,Equilibrium Expression and Equilibrium Constant.
Chemistry,Grade 11 ,5,CHEMICAL EQUILIBRIUM,5.2.5,Applications of Equilibrium Constant
Chemistry,Grade 11 ,5,CHEMICAL EQUILIBRIUM,5.2.6,Changing Equilibrium Conditions: Le-Chatelier's Principle.
Chemistry,Grade 11 ,5,CHEMICAL EQUILIBRIUM,5.2.7,Equilibrium and Industry..
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.1,Introduction
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.2,Alcohols and Ethers
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.2.1,Classification of Alcohols
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.2.2,Nomenclature of Alcohols
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.2.3,Physical Properties of Alcohols
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.2.4,Preparation of Alcohols..
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.2.5,Chemical Properties of Alcohols
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.2.6,Structure and Nomenclature of Ethers.
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.2.7,Physical Properties of Ethers
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.2.8,Preparation of Ethers
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.2.9,Reactions of Ethers....
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.3,Aldehydes and Ketones
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.3.1,Nomenclature
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.3.2,Physical Properties of Aldehydes and Ketones
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.4,Carboxylic Acids
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.4.1,Structure and Nomenclature of Carboxylic Acids
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.4.2,Physical Properties of Carboxylic Acids....
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.4.3,Chemical Properties of Carboxylic Acids..
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.4.4,Preparation of Carboxylic Acids......
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.4.5,Fatty Acids.
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.4.6,Uses of Carboxylic Acids
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.5,Esters
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.5.1,Sources of Esters..
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.5.2,Nomenclature
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.5.3,Physical Properties
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.5.4,Chemical Properties
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.5.5,Preparation of Esters
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.5.6,Uses of Esters
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.6.1,Source of Fats and Oils
Chemistry,Grade 11 ,6,SOME IMPORTANT OXYGEN-CONTAINING ORGANIC COMPOUNDS,6.6.2,Structure of Fats and Oils
